user_id,user_group
0,Student
1,Student
2,Student
3,Student
4,Student
5,Student
6,Student
7,Student
8,Student
9,Student
10,Student
11,Student
12,Student
13,Student
14,Student
15,Student
16,Student
17,Student
18,Student
19,Student
20,Student
21,Student
22,Student
23,Student
24,Student
25,Student
26,Student
27,Student
28,Student
29,Student
30,Student
31,Student
32,Student
33,Student
34,Student
35,Student
36,Student
37,Student
38,Student
39,Student
40,Student
41,Student
42,Student
43,Student
44,Student
45,Student
46,Student
47,Student
48,Student
49,Student
50,Student
51,Student
52,Student
53,Student
54,Student
55,Student
56,Student
57,Student
58,Student
59,Student
60,Student
61,Student
62,Student
63,Student
64,Student
65,Student
66,Student
67,Student
68,Student
69,Student
70,Student
71,Student
72,Student
73,Student
74,Student
75,Student
76,Student
77,Student
78,Student
79,Student
80,Student
81,Student
82,Student
83,Student
84,Student
85,Student
86,Student
87,Student
88,Student
89,Student
90,Student
91,Student
92,Student
93,Student
94,Student
95,Student
96,Student
97,Student
98,Student
99,Student
100,Office Worker
101,Office Worker
102,Office Worker
103,Office Worker
104,Office Worker
105,Office Worker
106,Office Worker
107,Office Worker
108,Office Worker
109,Office Worker
110,Office Worker
111,Office Worker
112,Office Worker
113,Office Worker
114,Office Worker
115,Office Worker
116,Office Worker
117,Office Worker
118,Office Worker
119,Office Worker
120,Office Worker
121,Office Worker
122,Office Worker
123,Office Worker
124,Office Worker
125,Office Worker
126,Office Worker
127,Office Worker
128,Office Worker
129,Office Worker
130,Office Worker
131,Office Worker
132,Office Worker
133,Office Worker
134,Office Worker
135,Office Worker
136,Office Worker
137,Office Worker
138,Office Worker
139,Office Worker
140,Office Worker
141,Office Worker
142,Office Worker
143,Office Worker
144,Office Worker
145,Office Worker
146,Office Worker
147,Office Worker
148,Office Worker
149,Office Worker
150,Office Worker
151,Office Worker
152,Office Worker
153,Office Worker
154,Office Worker
155,Office Worker
156,Office Worker
157,Office Worker
158,Office Worker
159,Office Worker
160,Office Worker
161,Office Worker
162,Office Worker
163,Office Worker
164,Office Worker
165,Office Worker
166,Office Worker
167,Office Worker
168,Office Worker
169,Office Worker
170,Office Worker
171,Office Worker
172,Office Worker
173,Office Worker
174,Office Worker
175,Office Worker
176,Office Worker
177,Office Worker
178,Office Worker
179,Office Worker
180,Office Worker
181,Office Worker
182,Office Worker
183,Office Worker
184,Office Worker
185,Office Worker
186,Office Worker
187,Office Worker
188,Office Worker
189,Office Worker
190,Office Worker
191,Office Worker
192,Office Worker
193,Office Worker
194,Office Worker
195,Office Worker
196,Office Worker
197,Office Worker
198,Office Worker
199,Office Worker
200,Gamer
201,Gamer
202,Gamer
203,Gamer
204,Gamer
205,Gamer
206,Gamer
207,Gamer
208,Gamer
209,Gamer
210,Gamer
211,Gamer
212,Gamer
213,Gamer
214,Gamer
215,Gamer
216,Gamer
217,Gamer
218,Gamer
219,Gamer
220,Gamer
221,Gamer
222,Gamer
223,Gamer
224,Gamer
225,Gamer
226,Gamer
227,Gamer
228,Gamer
229,Gamer
230,Gamer
231,Gamer
232,Gamer
233,Gamer
234,Gamer
235,Gamer
236,Gamer
237,Gamer
238,Gamer
239,Gamer
240,Gamer
241,Gamer
242,Gamer
243,Gamer
244,Gamer
245,Gamer
246,Gamer
247,Gamer
248,Gamer
249,Gamer
250,Gamer
251,Gamer
252,Gamer
253,Gamer
254,Gamer
255,Gamer
256,Gamer
257,Gamer
258,Gamer
259,Gamer
260,Gamer
261,Gamer
262,Gamer
263,Gamer
264,Gamer
265,Gamer
266,Gamer
267,Gamer
268,Gamer
269,Gamer
270,Gamer
271,Gamer
272,Gamer
273,Gamer
274,Gamer
275,Gamer
276,Gamer
277,Gamer
278,Gamer
279,Gamer
280,Gamer
281,Gamer
282,Gamer
283,Gamer
284,Gamer
285,Gamer
286,Gamer
287,Gamer
288,Gamer
