user_id,user_group,rank,item_id,score
400,Casual User,1,5306,4.7614875
400,Casual User,2,5300,4.7514114
400,Casual User,3,5303,4.7483263
400,Casual User,4,5302,4.7392883
400,Casual User,5,5298,4.7226477
400,Casual User,6,5194,4.4984703
400,Casual User,7,5201,4.4957457
400,Casual User,8,5427,4.495372
400,Casual User,9,5052,4.490843
400,Casual User,10,5203,4.4903684
401,Casual User,1,5306,4.761362
401,Casual User,2,5300,4.7512856
401,Casual User,3,5303,4.7481985
401,Casual User,4,5302,4.7391396
401,Casual User,5,5298,4.7225323
401,Casual User,6,5194,4.498679
401,Casual User,7,5201,4.4959292
401,Casual User,8,5427,4.495317
401,Casual User,9,5052,4.49121
401,Casual User,10,5203,4.490543
402,Casual User,1,5306,4.7617135
402,Casual User,2,5300,4.7516694
402,Casual User,3,5303,4.7485447
402,Casual User,4,5302,4.739547
402,Casual User,5,5298,4.7227983
402,Casual User,6,5194,4.4985557
402,Casual User,7,5201,4.4956656
402,Casual User,8,5427,4.495256
402,Casual User,9,5052,4.490622
402,Casual User,10,5203,4.49028
403,Casual User,1,5306,4.7597847
403,Casual User,2,5300,4.7496386
403,Casual User,3,5303,4.7467513
403,Casual User,4,5302,4.7376328
403,Casual User,5,5298,4.7210145
403,Casual User,6,5194,4.4980574
403,Casual User,7,5201,4.495358
403,Casual User,8,5427,4.493475
403,Casual User,9,5203,4.489896
403,Casual User,10,5101,4.4874916
404,Casual User,1,5306,4.7615166
404,Casual User,2,5300,4.7514844
404,Casual User,3,5303,4.7482553
404,Casual User,4,5302,4.739132
404,Casual User,5,5298,4.7226086
404,Casual User,6,5194,4.500517
404,Casual User,7,5201,4.4973593
404,Casual User,8,5427,4.4956293
404,Casual User,9,5052,4.4946365
404,Casual User,10,5101,4.49423
405,Casual User,1,5306,4.7644615
405,Casual User,2,5300,4.7545495
405,Casual User,3,5303,4.7510667
405,Casual User,4,5302,4.742161
405,Casual User,5,5298,4.72549
405,Casual User,6,5194,4.49962
405,Casual User,7,5427,4.498635
405,Casual User,8,5201,4.496703
405,Casual User,9,5101,4.4927483
405,Casual User,10,5203,4.4914236
406,Casual User,1,5306,4.761293
406,Casual User,2,5300,4.751262
406,Casual User,3,5303,4.748053
406,Casual User,4,5302,4.738914
406,Casual User,5,5298,4.722435
406,Casual User,6,5194,4.500372
406,Casual User,7,5201,4.4972825
406,Casual User,8,5427,4.495503
406,Casual User,9,5052,4.494175
406,Casual User,10,5101,4.4932733
407,Casual User,1,5306,4.761963
407,Casual User,2,5300,4.751954
407,Casual User,3,5303,4.748755
407,Casual User,4,5302,4.739742
407,Casual User,5,5298,4.7230587
407,Casual User,6,5194,4.49907
407,Casual User,7,5201,4.4961176
407,Casual User,8,5427,4.4957013
407,Casual User,9,5052,4.4914365
407,Casual User,10,5203,4.4907126
408,Casual User,1,5306,4.7627554
408,Casual User,2,5300,4.752812
408,Casual User,3,5303,4.7494297
408,Casual User,4,5302,4.7403917
408,Casual User,5,5298,4.7238226
408,Casual User,6,5194,4.5004387
408,Casual User,7,5201,4.497287
408,Casual User,8,5427,4.49689
408,Casual User,9,5052,4.494153
408,Casual User,10,5101,4.4935217
409,Casual User,1,5306,4.7603345
409,Casual User,2,5300,4.7502065
409,Casual User,3,5303,4.747235
409,Casual User,4,5302,4.738126
409,Casual User,5,5298,4.7214975
409,Casual User,6,5194,4.4986973
409,Casual User,7,5201,4.4958596
409,Casual User,8,5427,4.494056
409,Casual User,9,5052,4.491088
409,Casual User,10,5203,4.490446
410,Casual User,1,5306,4.76
410,Casual User,2,5300,4.7498665
410,Casual User,3,5303,4.7469234
410,Casual User,4,5302,4.7377887
410,Casual User,5,5298,4.7212048
410,Casual User,6,5194,4.4986553
410,Casual User,7,5201,4.4958534
410,Casual User,8,5427,4.493801
410,Casual User,9,5052,4.4908624
410,Casual User,10,5203,4.490409
411,Casual User,1,5306,4.7625175
411,Casual User,2,5300,4.752484
411,Casual User,3,5303,4.7492814
411,Casual User,4,5302,4.7402744
411,Casual User,5,5298,4.723709
411,Casual User,6,5194,4.4985776
411,Casual User,7,5427,4.4968166
411,Casual User,8,5201,4.4959846
411,Casual User,9,5052,4.4914103
411,Casual User,10,5203,4.4906445
412,Casual User,1,5306,4.761717
412,Casual User,2,5300,4.751522
412,Casual User,3,5303,4.748553
412,Casual User,4,5302,4.739488
412,Casual User,5,5298,4.7230296
412,Casual User,6,5194,4.4974465
412,Casual User,7,5427,4.496502
412,Casual User,8,5201,4.495376
412,Casual User,9,5203,4.490151
412,Casual User,10,5214,4.4850936
413,Casual User,1,5306,4.763476
413,Casual User,2,5300,4.7535768
413,Casual User,3,5303,4.750098
413,Casual User,4,5302,4.741114
413,Casual User,5,5298,4.724452
413,Casual User,6,5194,4.500748
413,Casual User,7,5201,4.4974165
413,Casual User,8,5427,4.4974136
413,Casual User,9,5101,4.494623
413,Casual User,10,5052,4.494615
414,Casual User,1,5306,4.7615476
414,Casual User,2,5300,4.751395
414,Casual User,3,5303,4.7483616
414,Casual User,4,5302,4.739285
414,Casual User,5,5298,4.7227497
414,Casual User,6,5194,4.4984517
414,Casual User,7,5201,4.495949
414,Casual User,8,5427,4.495885
414,Casual User,9,5101,4.490814
414,Casual User,10,5203,4.490677
415,Casual User,1,5306,4.76248
415,Casual User,2,5300,4.752474
415,Casual User,3,5303,4.749221
415,Casual User,4,5302,4.7402134
415,Casual User,5,5298,4.72357
415,Casual User,6,5194,4.499314
415,Casual User,7,5427,4.496439
415,Casual User,8,5201,4.496398
415,Casual User,9,5101,4.491436
415,Casual User,10,5203,4.491043
416,Casual User,1,5306,4.7617784
416,Casual User,2,5300,4.751645
416,Casual User,3,5303,4.7485886
416,Casual User,4,5302,4.7395377
416,Casual User,5,5298,4.722972
416,Casual User,6,5194,4.4983068
416,Casual User,7,5427,4.4960527
416,Casual User,8,5201,4.4958086
416,Casual User,9,5052,4.4916883
416,Casual User,10,5203,4.490532
417,Casual User,1,5306,4.7627683
417,Casual User,2,5300,4.7527876
417,Casual User,3,5303,4.749425
417,Casual User,4,5302,4.7403755
417,Casual User,5,5298,4.7238026
417,Casual User,6,5194,4.5006123
417,Casual User,7,5201,4.4974484
417,Casual User,8,5427,4.4969244
417,Casual User,9,5052,4.4950905
417,Casual User,10,5101,4.4950714
418,Casual User,1,5306,4.7604933
418,Casual User,2,5300,4.750373
418,Casual User,3,5303,4.747418
418,Casual User,4,5302,4.738349
418,Casual User,5,5298,4.7216797
418,Casual User,6,5194,4.4980288
418,Casual User,7,5201,4.495324
418,Casual User,8,5427,4.494147
418,Casual User,9,5203,4.4899006
418,Casual User,10,5052,4.4897175
419,Casual User,1,5306,4.763985
419,Casual User,2,5300,4.754062
419,Casual User,3,5303,4.7505927
419,Casual User,4,5302,4.7416105
419,Casual User,5,5298,4.725106
419,Casual User,6,5194,4.5000134
419,Casual User,7,5427,4.498583
419,Casual User,8,5201,4.497161
419,Casual User,9,5052,4.494089
419,Casual User,10,5101,4.4930105
420,Casual User,1,5306,4.7630353
420,Casual User,2,5300,4.753111
420,Casual User,3,5303,4.7496653
420,Casual User,4,5302,4.7406178
420,Casual User,5,5298,4.7240834
420,Casual User,6,5194,4.50097
420,Casual User,7,5201,4.4977264
420,Casual User,8,5427,4.4973
420,Casual User,9,5052,4.49528
420,Casual User,10,5101,4.494964
421,Casual User,1,5306,4.763253
421,Casual User,2,5300,4.753347
421,Casual User,3,5303,4.7499056
421,Casual User,4,5302,4.740929
421,Casual User,5,5298,4.7242274
421,Casual User,6,5194,4.5004787
421,Casual User,7,5201,4.497153
421,Casual User,8,5427,4.49704
421,Casual User,9,5052,4.493913
421,Casual User,10,5101,4.4938173
422,Casual User,1,5306,4.7626534
422,Casual User,2,5300,4.7526584
422,Casual User,3,5303,4.749385
422,Casual User,4,5302,4.740376
422,Casual User,5,5298,4.7237883
422,Casual User,6,5194,4.499233
422,Casual User,7,5427,4.4968214
422,Casual User,8,5201,4.496414
422,Casual User,9,5052,4.4922695
422,Casual User,10,5203,4.4910526
423,Casual User,1,5306,4.7629175
423,Casual User,2,5300,4.752899
423,Casual User,3,5303,4.7496095
423,Casual User,4,5302,4.7405987
423,Casual User,5,5298,4.724004
423,Casual User,6,5194,4.499556
423,Casual User,7,5427,4.497126
423,Casual User,8,5201,4.496695
423,Casual User,9,5101,4.4929094
423,Casual User,10,5203,4.491405
424,Casual User,1,5306,4.7614164
424,Casual User,2,5300,4.7513437
424,Casual User,3,5303,4.7482367
424,Casual User,4,5302,4.739176
424,Casual User,5,5298,4.7225494
424,Casual User,6,5194,4.498966
424,Casual User,7,5201,4.4961185
424,Casual User,8,5427,4.4952984
424,Casual User,9,5052,4.4917636
424,Casual User,10,5203,4.490742
425,Casual User,1,5306,4.761135
425,Casual User,2,5300,4.7509527
425,Casual User,3,5303,4.7479935
425,Casual User,4,5302,4.7388983
425,Casual User,5,5298,4.7224035
425,Casual User,6,5194,4.497971
425,Casual User,7,5201,4.495635
425,Casual User,8,5427,4.4955926
425,Casual User,9,5203,4.490349
425,Casual User,10,5101,4.489398
426,Casual User,1,5306,4.761199
426,Casual User,2,5300,4.751067
426,Casual User,3,5303,4.7480307
426,Casual User,4,5302,4.738943
426,Casual User,5,5298,4.7223682
426,Casual User,6,5194,4.498745
426,Casual User,7,5201,4.4960566
426,Casual User,8,5427,4.495281
426,Casual User,9,5052,4.49207
426,Casual User,10,5101,4.4909344
427,Casual User,1,5306,4.7623158
427,Casual User,2,5300,4.752255
427,Casual User,3,5303,4.7491336
427,Casual User,4,5302,4.740161
427,Casual User,5,5298,4.723508
427,Casual User,6,5194,4.4977474
427,Casual User,7,5427,4.496377
427,Casual User,8,5201,4.49527
427,Casual User,9,5203,4.4899354
427,Casual User,10,5101,4.487802
428,Casual User,1,5306,4.7616286
428,Casual User,2,5300,4.7515464
428,Casual User,3,5303,4.748435
428,Casual User,4,5302,4.7393827
428,Casual User,5,5298,4.722765
428,Casual User,6,5194,4.4988823
428,Casual User,7,5201,4.4960985
428,Casual User,8,5427,4.495599
428,Casual User,9,5052,4.491914
428,Casual User,10,5101,4.490806
429,Casual User,1,5306,4.7639313
429,Casual User,2,5300,4.754033
429,Casual User,3,5303,4.7504983
429,Casual User,4,5302,4.7415013
429,Casual User,5,5298,4.724926
429,Casual User,6,5194,4.5010905
429,Casual User,7,5427,4.4982166
429,Casual User,8,5201,4.4978313
429,Casual User,9,5101,4.496016
429,Casual User,10,5052,4.495862
430,Casual User,1,5306,4.7618484
430,Casual User,2,5300,4.751713
430,Casual User,3,5303,4.7486944
430,Casual User,4,5302,4.7396836
430,Casual User,5,5298,4.7230773
430,Casual User,6,5194,4.497478
430,Casual User,7,5427,4.4960775
430,Casual User,8,5201,4.49516
430,Casual User,9,5052,4.4900694
430,Casual User,10,5203,4.4898767
431,Casual User,1,5306,4.7602916
431,Casual User,2,5300,4.7501006
431,Casual User,3,5303,4.747242
431,Casual User,4,5302,4.7381573
431,Casual User,5,5298,4.7215366
431,Casual User,6,5194,4.497439
431,Casual User,7,5201,4.495002
431,Casual User,8,5427,4.4941883
431,Casual User,9,5203,4.4896393
431,Casual User,10,5052,4.489445
432,Casual User,1,5306,4.763626
432,Casual User,2,5300,4.753746
432,Casual User,3,5303,4.7502303
432,Casual User,4,5302,4.741242
432,Casual User,5,5298,4.724612
432,Casual User,6,5194,4.5009427
432,Casual User,7,5427,4.4976716
432,Casual User,8,5201,4.497596
432,Casual User,9,5052,4.494926
432,Casual User,10,5203,4.492234
433,Casual User,1,5306,4.7607803
433,Casual User,2,5300,4.750719
433,Casual User,3,5303,4.747649
433,Casual User,4,5302,4.738564
433,Casual User,5,5298,4.721936
433,Casual User,6,5194,4.498961
433,Casual User,7,5201,4.4960337
433,Casual User,8,5427,4.4945087
433,Casual User,9,5052,4.4910593
433,Casual User,10,5203,4.4905777
434,Casual User,1,5306,4.763736
434,Casual User,2,5300,4.7537117
434,Casual User,3,5303,4.750456
434,Casual User,4,5302,4.741541
434,Casual User,5,5298,4.724928
434,Casual User,6,5427,4.4982076
434,Casual User,7,5194,4.4977784
434,Casual User,8,5201,4.4954596
434,Casual User,9,5052,4.4906435
434,Casual User,10,5203,4.4902124
435,Casual User,1,5306,4.7602606
435,Casual User,2,5300,4.750097
435,Casual User,3,5303,4.7471485
435,Casual User,4,5302,4.7379856
435,Casual User,5,5298,4.72153
435,Casual User,6,5194,4.498713
435,Casual User,7,5201,4.496114
435,Casual User,8,5427,4.494567
435,Casual User,9,5052,4.49181
435,Casual User,10,5203,4.4907265
436,Casual User,1,5306,4.7619014
436,Casual User,2,5300,4.7519445
436,Casual User,3,5303,4.748614
436,Casual User,4,5302,4.739532
436,Casual User,5,5298,4.72292
436,Casual User,6,5194,4.5009336
436,Casual User,7,5201,4.4974947
436,Casual User,8,5427,4.495735
436,Casual User,9,5203,4.492075
436,Casual User,10,5214,4.487825
437,Casual User,1,5306,4.7603307
437,Casual User,2,5300,4.7502613
437,Casual User,3,5303,4.7471952
437,Casual User,4,5302,4.738067
437,Casual User,5,5298,4.7214317
437,Casual User,6,5194,4.499696
437,Casual User,7,5201,4.496525
437,Casual User,8,5427,4.4939194
437,Casual User,9,5052,4.492307
437,Casual User,10,5203,4.491063
438,Casual User,1,5306,4.7594457
438,Casual User,2,5300,4.749346
438,Casual User,3,5303,4.7463493
438,Casual User,4,5302,4.7371483
438,Casual User,5,5298,4.7205877
438,Casual User,6,5194,4.500013
438,Casual User,7,5201,4.4967794
438,Casual User,8,5427,4.4931087
438,Casual User,9,5052,4.492745
438,Casual User,10,5101,4.491764
439,Casual User,1,5306,4.7631946
439,Casual User,2,5300,4.75325
439,Casual User,3,5303,4.7498693
439,Casual User,4,5302,4.7408714
439,Casual User,5,5298,4.7243013
439,Casual User,6,5194,4.4997916
439,Casual User,7,5427,4.497448
439,Casual User,8,5201,4.496855
439,Casual User,9,5052,4.493184
439,Casual User,10,5101,4.4920692
440,Casual User,1,5306,4.7627397
440,Casual User,2,5300,4.752737
440,Casual User,3,5303,4.749414
440,Casual User,4,5302,4.7403636
440,Casual User,5,5298,4.7238264
440,Casual User,6,5194,4.5001774
440,Casual User,7,5201,4.4971914
440,Casual User,8,5427,4.4970465
440,Casual User,9,5052,4.4944954
440,Casual User,10,5101,4.494035
441,Casual User,1,5306,4.7626
441,Casual User,2,5300,4.7525325
441,Casual User,3,5303,4.7493477
441,Casual User,4,5302,4.740329
441,Casual User,5,5298,4.723796
441,Casual User,6,5194,4.4986024
441,Casual User,7,5427,4.4970675
441,Casual User,8,5201,4.4960885
441,Casual User,9,5052,4.492073
441,Casual User,10,5203,4.490804
442,Casual User,1,5306,4.7606435
442,Casual User,2,5300,4.7505627
442,Casual User,3,5303,4.7475033
442,Casual User,4,5302,4.7383733
442,Casual User,5,5298,4.7218666
442,Casual User,6,5194,4.499127
442,Casual User,7,5201,4.496312
442,Casual User,8,5427,4.4947467
442,Casual User,9,5052,4.491724
442,Casual User,10,5203,4.490862
443,Casual User,1,5306,4.761834
443,Casual User,2,5300,4.751832
443,Casual User,3,5303,4.7485895
443,Casual User,4,5302,4.7395296
443,Casual User,5,5298,4.7229033
443,Casual User,6,5194,4.4999604
443,Casual User,7,5201,4.496826
443,Casual User,8,5427,4.49568
443,Casual User,9,5052,4.4931602
443,Casual User,10,5101,4.492502
444,Casual User,1,5306,4.7610016
444,Casual User,2,5300,4.750869
444,Casual User,3,5303,4.7478857
444,Casual User,4,5302,4.738825
444,Casual User,5,5298,4.7222037
444,Casual User,6,5194,4.4980073
444,Casual User,7,5201,4.4954348
444,Casual User,8,5427,4.4949408
444,Casual User,9,5203,4.4900756
444,Casual User,10,5101,4.4885707
445,Casual User,1,5306,4.7599564
445,Casual User,2,5300,4.7498407
445,Casual User,3,5303,4.746849
445,Casual User,4,5302,4.7376957
445,Casual User,5,5298,4.721091
445,Casual User,6,5194,4.499444
445,Casual User,7,5201,4.4963875
445,Casual User,8,5427,4.49362
445,Casual User,9,5101,4.4912047
445,Casual User,10,5203,4.4909396
446,Casual User,1,5306,4.76175
446,Casual User,2,5300,4.7516947
446,Casual User,3,5303,4.7484865
446,Casual User,4,5302,4.7393794
446,Casual User,5,5298,4.7228622
446,Casual User,6,5194,4.500127
446,Casual User,7,5201,4.497128
446,Casual User,8,5427,4.495972
446,Casual User,9,5203,4.491783
